 time            v(out)          i(Lboost)       v(anode)       
 1.39100244e-06  4.56522142e+02  1.81232444e+01  4.57329875e+02 
 1.39600244e-06  4.56714903e+02  1.81157235e+01  4.57522617e+02 
 1.40100244e-06  4.56907583e+02  1.81081973e+01  4.57715279e+02 
 1.40600244e-06  4.57100183e+02  1.81006658e+01  4.57907861e+02 
 1.41100244e-06  4.57292703e+02  1.80931289e+01  4.58100363e+02 
 1.41600244e-06  4.57485143e+02  1.80855867e+01  4.58292785e+02 
 1.42100244e-06  4.57677503e+02  1.80780391e+01  4.58485126e+02 
 1.42600244e-06  4.57869782e+02  1.80704862e+01  4.58677387e+02 
 1.43100244e-06  4.58061981e+02  1.80629279e+01  4.58869568e+02 
 1.43600244e-06  4.58254100e+02  1.80553643e+01  4.59061668e+02 
 1.44100244e-06  4.58446138e+02  1.80477954e+01  4.59253688e+02 
 1.44600244e-06  4.58638096e+02  1.80402211e+01  4.59445627e+02 
 1.45100244e-06  4.58829973e+02  1.80326415e+01  4.59637485e+02 
 1.45600244e-06  4.59021769e+02  1.80250566e+01  4.59829263e+02 
 1.46100244e-06  4.59213484e+02  1.80174664e+01  4.60020960e+02 
 1.46600244e-06  4.59405119e+02  1.80098708e+01  4.60212576e+02 
 1.47100244e-06  4.59596673e+02  1.80022699e+01  4.60404112e+02 
 1.47600244e-06  4.59788146e+02  1.79946637e+01  4.60595566e+02 
 1.48100244e-06  4.59979538e+02  1.79870522e+01  4.60786940e+02 
 1.48600244e-06  4.60170849e+02  1.79794353e+01  4.60978232e+02 
 1.49100244e-06  4.60362079e+02  1.79718132e+01  4.61169444e+02 
 1.49600244e-06  4.60553228e+02  1.79641857e+01  4.61360574e+02 
 1.50100244e-06  4.60744296e+02  1.79565529e+01  4.61551623e+02 
 1.50600244e-06  4.60935282e+02  1.79489149e+01  4.61742591e+02 
 1.51100244e-06  4.61126188e+02  1.79412715e+01  4.61933478e+02 
 1.51600244e-06  4.61317012e+02  1.79336228e+01  4.62124283e+02 
 1.52100244e-06  4.61507754e+02  1.79259688e+01  4.62315007e+02 
 1.52600244e-06  4.61698415e+02  1.79183095e+01  4.62505649e+02 
 1.53100244e-06  4.61888995e+02  1.79106449e+01  4.62696210e+02 
 1.53600244e-06  4.62079493e+02  1.79029751e+01  4.62886689e+02 
 1.54100244e-06  4.62269909e+02  1.78952999e+01  4.63077087e+02 
 1.54600244e-06  4.62460244e+02  1.78876195e+01  4.63267403e+02 
 1.55100244e-06  4.62650497e+02  1.78799337e+01  4.63457637e+02 
 1.55600244e-06  4.62840668e+02  1.78722427e+01  4.63647789e+02 
 1.56100244e-06  4.63030757e+02  1.78645464e+01  4.63837859e+02 
 1.56600244e-06  4.63220764e+02  1.78568449e+01  4.64027848e+02 
 1.57100244e-06  4.63410690e+02  1.78491380e+01  4.64217754e+02 
 1.57600244e-06  4.63600533e+02  1.78414259e+01  4.64407579e+02 
 1.58100244e-06  4.63790295e+02  1.78337085e+01  4.64597321e+02 
 1.58600244e-06  4.63979974e+02  1.78259858e+01  4.64786982e+02 
 1.59100244e-06  4.64169571e+02  1.78182579e+01  4.64976560e+02 
 1.59600244e-06  4.64359086e+02  1.78105247e+01  4.65166056e+02 
 1.60100244e-06  4.64548518e+02  1.78027862e+01  4.65355469e+02 
 1.60600244e-06  4.64737868e+02  1.77950425e+01  4.65544800e+02 
 1.61100244e-06  4.64927136e+02  1.77872935e+01  4.65734049e+02 
 1.61600244e-06  4.65116321e+02  1.77795393e+01  4.65923215e+02 
 1.62100244e-06  4.65305424e+02  1.77717798e+01  4.66112299e+02 
 1.62600244e-06  4.65494444e+02  1.77640151e+01  4.66301300e+02 
 1.63100244e-06  4.65683382e+02  1.77562451e+01  4.66490218e+02 
 1.63600244e-06  4.65872236e+02  1.77484699e+01  4.66679054e+02 
